Course_ID,Section,Semester,Type,Weekly_Count,Duration,Delivery_Mode,,,,,,,,
CSIT802,MCA_Sem3_A,sem3,Lab,1,2,Offline,,,,,,,,
CSIT803,MCA_Sem3_A,sem3,Lab,1,2,Offline,,,,,,,,
CSIT811,MCA_Sem3_A,sem3,Lab,1,2,Offline,,,,,,,,
CSIT751,MCA_Sem1_A,sem1,Lab,1,2,Offline,,,,,,,,
IT601,MCA_Sem1_A,sem1,Lab,1,2,Offline,,,,,,,,
CSE601,MCA_Sem2_A,sem2,Lab,1,2,Offline,,,,,,,,
CSIT654,MCA_Sem2_A,sem2,Lab,1,2,Offline,,,,,,,,
CSIT816,MCA_Sem2_A,sem2,Lab,1,2,Offline,,,,,,,,
CSIT755,MCA_Sem2_A,sem2,Lab,1,2,Offline,,,,,,,,
CSIT762,MCA_Sem3_B,sem3,Lab,1,2,Offline,,,,,,,,
CSIT802,MCA_Sem3_B,sem3,Lab,1,2,Offline,,,,,,,,
CSIT803,MCA_Sem3_B,sem3,Lab,1,2,Offline,,,,,,,,
CSIT811,MCA_Sem3_B,sem3,Lab,1,2,Offline,,,,,,,,
CSIT751,MCA_Sem1_B,sem1,Lab,1,2,Offline,,,,,,,,
IT601,MCA_Sem1_B,sem1,Lab,1,2,Offline,,,,,,,,
CSE601,MCA_Sem2_B,sem2,Lab,1,2,Offline,,,,,,,,
CSIT654,MCA_Sem2_B,sem2,Lab,1,2,Offline,,,,,,,,
CSIT816,MCA_Sem2_B,sem2,Lab,1,2,Offline,,,,,,,,
CSIT755,MCA_Sem2_B,sem2,Lab,1,2,Offline,,,,,,,,
CSIT762,MCA_Sem3_C,sem3,Lab,1,2,Offline,,,,,,,,
CSIT802,MCA_Sem3_C,sem3,Lab,1,2,Offline,,,,,,,,
CSIT803,MCA_Sem3_C,sem3,Lab,1,2,Offline,,,,,,,,
CSIT811,MCA_Sem3_C,sem3,Lab,1,2,Offline,,,,,,,,
CSIT751,MCA_Sem1_C,sem1,Lab,1,2,Offline,,,,,,,,
IT601,MCA_Sem1_C,sem1,Lab,1,2,Offline,,,,,,,,
CSE601,MCA_Sem2_C,sem2,Lab,1,2,Offline,,,,,,,,
CSIT654,MCA_Sem2_C,sem2,Lab,1,2,Offline,,,,,,,,
CSIT816,MCA_Sem2_C,sem2,Lab,1,2,Offline,,,,,,,,
CSIT755,MCA_Sem2_C,sem2,Lab,1,2,Offline,,,,,,,,
MGT101,MBA_Sem1_A,sem1,Lecture,4,1,Offline,,,,,,,,
FIN101,MBA_Sem1_A,sem1,Lecture,4,1,Offline,,,,,,,,
MKT101,MBA_Sem1_A,sem1,Lecture,3,1,Offline,,,,,,,,
STAT101,MBA_Sem1_A,sem1,Lecture,4,1,Offline,,,,,,,,
MBA105,MBA_Sem1_A,sem1,Lecture,3,1,Offline,,,,,,,,
BC101,MBA_Sem1_A,sem1,Lecture,3,1,Offline,,,,,,,,
HRM201,MBA_Sem2_A,sem2,Lecture,3,1,Offline,,,,,,,,
MBA202,MBA_Sem2_A,sem2,Lecture,4,1,Offline,,,,,,,,
